Exercise ID,Exercise Name,YouTube URL,Video ID,Expected CDN URL,CDN Exists,Status
standing_barbell_press,"Standing Barbell Press",https://youtube.com/shorts/H9il_PZegSE?feature=share,H9il_PZegSE,https://unclerommy.b-cdn.net/H9il_PZegSE.mp4,YES,CDN OK
standing_calf_raises,"Standing Calf Raises",https://youtube.com/shorts/_gp4zLx00U8?feature=share,_gp4zLx00U8,https://unclerommy.b-cdn.net/_gp4zLx00U8.mp4,YES,CDN OK
standing_good_mornings,"Standing Good Mornings",https://youtube.com/shorts/9cf-P4JVeU8?feature=share,9cf-P4JVeU8,https://unclerommy.b-cdn.net/9cf-P4JVeU8.mp4,YES,CDN OK
standing_reverse_incline_flyes,"Standing Reverse Incline Flyes",https://youtube.com/shorts/6vrlwEdrkTA?feature=share,6vrlwEdrkTA,https://unclerommy.b-cdn.net/6vrlwEdrkTA.mp4,NO,CDN MISSING
sumo_deadlift,"Sumo Deadlift",https://youtube.com/shorts/9L__IsQ0HD0?si=Y3_9istOESLf6cu6,9L__IsQ0HD0,https://unclerommy.b-cdn.net/9L__IsQ0HD0.mp4,YES,CDN OK
super_wide_pulldowns,"Super Wide Pulldowns",https://youtube.com/shorts/K3vYp2lhgKE?feature=share,K3vYp2lhgKE,https://unclerommy.b-cdn.net/K3vYp2lhgKE.mp4,YES,CDN OK
supermans,"Supermans",https://youtube.com/shorts/1Dacowkc5cM?feature=share,1Dacowkc5cM,https://unclerommy.b-cdn.net/1Dacowkc5cM.mp4,YES,CDN OK
supinated_barbell_rows,"Supinated Barbell Rows",https://youtube.com/shorts/PkQ5UXFyaqo?feature=share,PkQ5UXFyaqo,https://unclerommy.b-cdn.net/PkQ5UXFyaqo.mp4,NO,CDN MISSING
supinated_dumbbell_rows,"Supinated Dumbbell Rows",https://youtube.com/shorts/PkQ5UXFyaqo?feature=share,PkQ5UXFyaqo,https://unclerommy.b-cdn.net/PkQ5UXFyaqo.mp4,NO,CDN MISSING
t_raises,"T Raises",https://youtube.com/shorts/flhz5dtmqo4?feature=share,flhz5dtmqo4,https://unclerommy.b-cdn.net/flhz5dtmqo4.mp4,NO,CDN MISSING
t_bar_rows,"T-Bar Rows",https://youtube.com/shorts/ILNnGpZmvZA?feature=share,ILNnGpZmvZA,https://unclerommy.b-cdn.net/ILNnGpZmvZA.mp4,NO,CDN MISSING
triangle_pushdown,"Triangle Attachment Pushdowns",,,,,No Video URL
triangle_attachment_tricep_superset,"Triangle Attachment Tricep Superset",https://youtube.com/shorts/uyOy0-JxTuU?feature=share,uyOy0-JxTuU,https://unclerommy.b-cdn.net/uyOy0-JxTuU.mp4,YES,CDN OK
triple_rear_delt_delight,"Triple Rear Delt Delight",https://youtube.com/shorts/1Dacowkc5cM?feature=share,1Dacowkc5cM,https://unclerommy.b-cdn.net/1Dacowkc5cM.mp4,YES,CDN OK
turtle_raises,"Turtle Raises",https://www.youtube.com/shorts/x69X23j0dw0,x69X23j0dw0,https://unclerommy.b-cdn.net/x69X23j0dw0.mp4,YES,CDN OK
uncle_rommy_curl,"Uncle Rommy Curls",https://www.youtube.com/shorts/B3f7JKCbe7Y,B3f7JKCbe7Y,https://unclerommy.b-cdn.net/B3f7JKCbe7Y.mp4,YES,CDN OK
uncle_rommy_curls,"Uncle Rommy Curls",https://www.youtube.com/shorts/B3f7JKCbe7Y,B3f7JKCbe7Y,https://unclerommy.b-cdn.net/B3f7JKCbe7Y.mp4,YES,CDN OK
underhand_pulldown,"Underhand Pulldown",https://youtube.com/shorts/Re20ZF4U1J8?feature=share,Re20ZF4U1J8,https://unclerommy.b-cdn.net/Re20ZF4U1J8.mp4,NO,CDN MISSING
upper_back_barbell_rows,"Upper Back Barbell Rows",https://youtube.com/shorts/ZgS4xZnyMGo?feature=share,ZgS4xZnyMGo,https://unclerommy.b-cdn.net/ZgS4xZnyMGo.mp4,NO,CDN MISSING
upper_back_dumbbell_rows,"Upper Back Dumbbell Rows",https://youtube.com/shorts/ZgS4xZnyMGo?feature=share,ZgS4xZnyMGo,https://unclerommy.b-cdn.net/ZgS4xZnyMGo.mp4,NO,CDN MISSING
upright_dips_tricep,"Upright Dips (Tricep Dips)",https://youtube.com/shorts/gfmALylWNv4?si=yektKPnPxfj8ZI4A,gfmALylWNv4,https://unclerommy.b-cdn.net/gfmALylWNv4.mp4,YES,CDN OK
